Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
7/30/2015,11.5297,9205,72049306.59375,0,8893
7/31/2015,51.4594,9361,72085498.31250,0,0
8/1/2015,57.7845,9476,72113204.25000,0,0
8/2/2015,67.9224,9563,72141427.68750,0,0
8/3/2015,74.5737,9639,72169404.40625,0,0
8/4/2015,82.0352,9696,72197882.84375,0,0
8/5/2015,86.1558,9749,72225411.43750,0,0
8/6/2015,88.3326,9790,72252486.90625,0,0
8/7/2015,95.2981,10314,72279924.56250,37318413511279304835,2050
8/8/2015,104.8971,10730,72307868.00000,68099970071856826797,2881
8/9/2015,109.6916,11004,72335046.28125,14098949703205590944,1329
8/10/2015,120.5988,11679,72362863.62500,31165144438378735884,2037
8/11/2015,134.7695,13576,72390891.43750,11311448586019755030,4963
8/12/2015,143.0004,13913,72418262.37500,32586992404377741650,2036
8/13/2015,156.6101,14459,72446530.50000,24929169109943118841,2842
8/14/2015,196.7576,15024,72477637.21875,14354834112827458118,3174
8/15/2015,227.6650,15407,72506149.87500,8836593028046850811,2284
8/17/2015,258.9066,15693,72534268.78125,7642811839634956979,2512
8/16/2015,231.8948,15984,72561363.31250,6677237924905556046,2440
8/18/2015,270.4645,16268,72587526.12500,11906071340176042601,2494
8/19/2015,284.0496,16553,72614808.15625,15430950669480218002,3246
8/20/2015,221.4382,16773,72635865.18750,6855566942706630722,2303
8/21/2015,277.2820,17070,72662556.12500,7855041724705318491,3919
8/22/2015,312.6127,17313,72690106.59375,42547171829582457556,3579
8/23/2015,317.1623,17662,72716362.21875,8049767672901801716,4190
8/24/2015,333.3458,17839,72743695.50000,8876285419798610754,4432
8/25/2015,325.2465,18089,72770431.59375,8259755825110535782,4487
8/26/2015,343.1277,18298,72796569.56250,7447729278556984663,4156
8/27/2015,341.1168,18508,72821102.37500,8670963042887940562,5590
8/28/2015,355.2287,18687,72845327.53125,9925148370505206658,4758
8/29/2015,351.4530,18815,72867852.53125,5507451526061552074,4139
8/30/2015,340.1440,19017,72889306.12500,5634173742432616856,4572
8/31/2015,359.3523,19168,72910599.56250,7424533814378986634,5196
9/1/2015,363.4134,19349,72930942.53125,7843769855894396934,5153
9/2/2015,355.9032,19500,72949329.87500,8153735331051015790,5195
9/3/2015,339.3088,19646,72966710.81250,6970025674099678731,4777
9/4/2015,350.0661,19791,72989792.68750,9733856361469302860,5642
9/5/2015,374.9170,19955,73015421.75000,9141228323603367680,5519
