Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Daily_Trx
7/30/2015,11.5297,9205,72049306.59375,0,8893
7/31/2015,51.4594,9361,72085498.3125,0,0
8/1/2015,57.7845,9476,72113204.25,0,0
8/2/2015,67.9224,9563,72141427.6875,0,0
8/3/2015,74.5737,9639,72169404.40625,0,0
8/4/2015,82.0352,9696,72197882.84375,0,0
8/5/2015,86.1558,9749,72225411.4375,0,0
8/6/2015,88.3326,9790,72252486.90625,0,0
8/7/2015,95.2981,10314,72279924.5625,37318413511.2793,2050
8/8/2015,104.8971,10730,72307868,68099970071.8568,2881
8/9/2015,109.6916,11004,72335046.28125,14098949703.2056,1329
8/10/2015,120.5988,11679,72362863.625,31165144438.3787,2037
8/11/2015,134.7695,13576,72390891.4375,11311448586.0198,4963
8/12/2015,143.0004,13913,72418262.375,32586992404.3777,2036
8/13/2015,156.6101,14459,72446530.5,24929169109.9431,2842
8/14/2015,196.7576,15024,72477637.21875,14354834112.8275,3174
8/15/2015,227.665,15407,72506149.875,8836593028.04685,2284
8/17/2015,258.9066,15693,72534268.78125,7642811839.63496,2512
8/16/2015,231.8948,15984,72561363.3125,6677237924.90556,2440
8/18/2015,270.4645,16268,72587526.125,11906071340.176,2494
8/19/2015,284.0496,16553,72614808.15625,15430950669.4802,3246
8/20/2015,221.4382,16773,72635865.1875,6855566942.70663,2303
8/21/2015,277.282,17070,72662556.125,7855041724.70532,3919
8/22/2015,312.6127,17313,72690106.59375,42547171829.5825,3579
8/23/2015,317.1623,17662,72716362.21875,8049767672.9018,4190
8/24/2015,333.3458,17839,72743695.5,8876285419.79861,4432
8/25/2015,325.2465,18089,72770431.59375,8259755825.11054,4487
8/26/2015,343.1277,18298,72796569.5625,7447729278.55698,4156
8/27/2015,341.1168,18508,72821102.375,8670963042.88794,5590
8/28/2015,355.2287,18687,72845327.53125,9925148370.50521,4758
8/29/2015,351.453,18815,72867852.53125,5507451526.06155,4139
8/30/2015,340.144,19017,72889306.125,5634173742.43262,4572
8/31/2015,359.3523,19168,72910599.5625,7424533814.37899,5196
9/1/2015,363.4134,19349,72930942.53125,7843769855.8944,5153
9/2/2015,355.9032,19500,72949329.875,8153735331.05102,5195
9/3/2015,339.3088,19646,72966710.8125,6970025674.09968,4777
9/4/2015,350.0661,19791,72989792.6875,9733856361.4693,5642
9/5/2015,374.917,19955,73015421.75,9141228323.60337,5519
9/6/2015,388.4451,20081,73041590.03125,8055487734.516,5521
9/7/2015,379.8349,20308,73067050.5,9256422395.86653,5702
9/8/2015,370.7395,20433,73092943,10379926302.0444,5622
9/9/2015,386.1935,20609,73119370.65625,9840601069.16306,5604
9/10/2015,392.0801,20711,73145814.875,7925807170.79699,5341
9/11/2015,421.6556,20897,73173054.71875,8876728152.67996,6460
9/12/2015,424.2721,21043,73199455.8125,11354833193.5052,5596
9/13/2015,432.7014,21252,73225627.21875,9578725673.91911,6057
9/14/2015,399.6471,21409,73251215.34375,9901548419.39516,5572
9/15/2015,387.7858,21581,73276830.65625,8426997145.28331,5409
9/16/2015,383.9057,21719,73303148.78125,15146617077.8448,5872
9/17/2015,362.1457,21826,73328584.40625,8556523791.45551,5368
9/18/2015,346.2296,21999,73354486.125,11834821066.1985,5802
9/19/2015,357.5566,22106,73381665.8125,7982204372.92547,5205
9/20/2015,408.748,22230,73409648.46875,10969645471.7551,6402
9/21/2015,409.9779,22363,73436300.34375,10180741940.9429,6305
9/22/2015,410.0917,22496,73462670.65625,11404145175.9166,6804
9/23/2015,438.8619,22648,73489750.96875,10700267104.7921,7404
9/24/2015,436.2345,22783,73516136.75,10319506266.5013,6224
9/25/2015,443.497,22902,73543140.1875,9836594916.1266,5851
9/26/2015,440.6371,22964,73569050.5,9289146478.62103,5907
9/27/2015,426.444,23045,73594061.59375,8423870450.44485,5760
9/28/2015,391.4721,23160,73618775.8125,9272346609.30711,6123
9/29/2015,347.3122,23283,73643144.25,8877328420.74942,5738
9/30/2015,332.8925,23385,73668238,8385327115.721,5870
10/1/2015,365.2783,23482,73695660.03125,8767949463.44592,6421
10/2/2015,378.4969,23563,73722573.15625,9765296662.85067,6063
10/3/2015,390.9186,23689,73749026.90625,9791648364.45863,6112
10/4/2015,371.1233,23777,73774507.0625,9431925785.89795,6624
10/5/2015,385.5859,23909,73800643.9375,11486773507.2301,6279
10/6/2015,368.4521,24005,73825680.5,9995299953.55286,6458
10/7/2015,366.9765,24102,73851814.09375,12182989920.7108,7121
10/8/2015,375.1336,24168,73878596.28125,11972933368.3424,6926
10/9/2015,364.9485,24243,73904043.9375,11309218384.3179,6763
10/10/2015,360.6383,24303,73929543.625,11382811617.0538,6529
