Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Daily_Trx
2011-10-07,,,,,
2011-10-08,12.68,1,,,
2011-10-09,,,,,
2011-10-10,,,,,
2011-10-11,,,,,
2011-10-12,,1,,,
2011-10-13,3981152,9775,,,92
2011-10-14,10173213,1530,524950,,62
2011-10-15,2465190,1503,574950,,438
2011-10-16,3243604,4846,616616.6666666666,,1415
2011-10-17,3784099,3139,633283.3333333334,,1578
2011-10-18,3491184,3739,674950,,1651
2011-10-19,4615624,2624,724950,,1388
2011-10-20,4406201,3739,774950,,1851
2011-10-21,5721538,3175,816616.6666666666,,1681
2011-10-22,6050692,2892,833283.3333333334,,1505
2011-10-23,6517777,3120,874950,,1562
2011-10-24,7697206,2685,916616.6666666666,,1443
2011-10-25,5792978,2409,933283.3333333334,,1260
2011-10-26,6077776,4213,974950,,1310
2011-10-27,5405281,1873,1012450,,933
2011-10-28,4135097,2616,1024950,,1388
2011-10-29,5105674,2930,1037450,,1522
2011-10-30,6118471,3196,1074950,,1749
2011-10-31,6436955,3724,1116616.6666666667,,1779
2011-11-01,7950239,3927,1133283.3333333333,,1980
2011-11-02,14851569,4539,1174950,,2348
2011-11-03,17710885,3605,1266616.6666666667,,2029
2011-11-04,21185640,3926,1283283.3333333333,,2112
2011-11-05,21431536,2842,1324950,,1592
2011-11-06,19395028,3003,1374950,,1716
2011-11-07,18682079,2792,1416616.6666666667,,1608
2011-11-08,17478903,2996,1433283.3333333333,,1734
2011-11-09,17764696,2641,1466616.6666666667,,1505
2011-11-10,16439840,2635,1483283.3333333333,,1487
2011-11-11,17303985,3314,1516616.6666666667,,2003
2011-11-12,17506448,2413,1533283.3333333333,,1295
2011-11-13,17740277,2861,1574950,,1572
2011-11-14,16699834,2834,1616616.6666666667,,1460
2011-11-15,18117610,7095,1633283.3333333333,,4823
2011-11-16,17589267,40944,1666616.6666666667,,21994
2011-11-17,17734298,25412,1683283.3333333333,,15859
2011-11-18,19580764,11483,1716616.6666666667,,11761
2011-11-19,18724322,3379,1733283.3333333333,,2499
2011-11-20,20058404,2830,1774950,,4203
2011-11-21,19732050,3406,1816616.6666666667,,2616
2011-11-22,19193929,2999,1833283.3333333333,,1735
2011-11-23,18876649,2902,1866616.6666666667,,1596
2011-11-24,18145330,2451,1883283.3333333333,,1222
2011-11-25,17795447,2795,1924949.9999991502,,1317
2011-11-26,18781302,2798,1966616.6666649668,,1508
2011-11-27,19342354,2841,1983283.3333316334,,1409
2011-11-28,18838894,2655,2016616.6666649668,,1300
2011-11-29,18716620,2052,2033283.3333316334,,883
2011-11-30,21950282,2300,2074949.9999982999,,1170
2011-12-01,23686916,2326,2116616.6666649664,,1186
2011-12-02,27486420,2354,2133283.3333316334,,1157
2011-12-03,28797421,2606,2174949.9999983,,1314
2011-12-04,30974481,2080,2216616.6666649664,,964
2011-12-05,26058406,1810,2233283.3333316334,,839
2011-12-06,28117205,3224,2274949.9999983,,947
2011-12-07,29548412,2011,2316616.6666649664,,928
2011-12-08,26823454,1979,2333283.3333316334,,990
2011-12-09,24724165,1650,2366616.6666649664,,740
2011-12-10,25690188,1729,2383283.3333316334,,821
2011-12-11,29249490,1720,2416616.6666649664,,846
2011-12-12,27317276,1758,2433283.3333316334,,778
2011-12-13,20355254,1457,2466616.6666649664,,594
2011-12-14,16129895,1401,2483283.3333316334,,602
2011-12-15,20308206,1593,2516616.6666649664,,715
2011-12-16,20061832,1866,2533283.3333316334,,773
2011-12-17,23171063,1770,2566616.6666649664,,689
2011-12-18,22433666,1933,2583283.3333316334,,774
2011-12-19,20562636,1786,2624949.9999983,,746
2011-12-20,21276836,1871,2666616.6666649664,,768
2011-12-21,21946241,1914,2683283.3333316334,,768
2011-12-22,29371303,2082,2716616.6666649664,,798
2011-12-23,26157608,1729,2733283.3333316334,,801
2011-12-24,14135000,1391,2762449.9999983,,626
2011-12-25,11388493,1299,2774949.9999983,,594
2011-12-26,13223883,1390,2787449.9999983,,616
2011-12-27,14551029,1758,2816616.6666649664,,719
2011-12-28,13279337,1638,2833283.3333316334,,711
2011-12-29,21537013,2829,2874949.9999983,,1028
2011-12-30,40160922,2610,2924949.9999983,,940
2011-12-31,37845712,1752,2966616.6666649664,,686
2012-01-01,28937434,1690,2983283.3333316334,,649
2012-01-02,32549870,1998,3024949.9999983,,718
2012-01-03,33614519,1976,3066616.6666649664,,784
2012-01-04,35603969,1985,3083283.3333316334,,723
2012-01-05,35193187,2023,3116616.6666649664,,760
2012-01-06,36134663,1788,3133283.3333316334,,654
2012-01-07,29278779,1539,3166616.6666649664,,597
2012-01-08,20554109,1236,3183283.3333316334,,499
2012-01-09,14928483,1061,3209949.9999983,,430
2012-01-10,11875515,1132,3219949.9999983,,457
2012-01-11,13116570,1104,3229949.9999983,,437
2012-01-12,14189251,1858,3239949.9999983,,823
2012-01-13,28405357,2491,3274949.9999983,,868
2012-01-14,39889312,2162,3324949.9999983,,708
2012-01-15,29723025,1310,3362449.9999983,,456
2012-01-16,18938342,1437,3374949.9999983,,425
2012-01-17,15969831,1088,3387449.9999983,,386
2012-01-18,14021758,1092,3409949.9999983,,360
2012-01-19,11222398,815,3419949.9999983,,233
2012-01-20,11075112,908,3429949.9999983,,248
2012-01-21,13020439,954,3439949.9999983,,287
2012-01-22,8438740,1279,3462449.9999983,,382
2012-01-23,13500851,1643,3474949.9999983,,478
2012-01-24,13043624,1449,3487449.9999983,,438
2012-01-25,13166697,1670,3516616.6666649664,,515
2012-01-26,13973613,1798,3533283.3333316334,,589
2012-01-27,14528314,2001,3574949.9999983,,650
2012-01-28,17449998,2409,3624949.9999983,,794
2012-01-29,29775043,2415,3674949.9999983,,663
2012-01-30,30976513,2258,3724949.9999983,,608
2012-01-31,31969157,1383,3762449.9999983,,448
2012-02-01,20967128,1862,3774949.9999983,,625
2012-02-02,30134826,2404,3787449.9999983,,867
2012-02-03,35427183,2419,3824949.9999983,,928
2012-02-04,38699956,2668,3874949.9999983,,995
2012-02-05,42483286,2709,3924949.9999983,,1049
2012-02-06,50509558,2309,3966616.6666649664,,874
2012-02-07,42598049,2413,3983283.3333316334,,1003
2012-02-08,44340877,2453,4016616.6666649664,,1037
2012-02-09,43418815,2318,4033283.3333316334,,935
2012-02-10,40810415,2203,4074949.9999983,,824
2012-02-11,43975278,2238,4116616.6666649664,,869
2012-02-12,47022797,2248,4133283.3333316334,,790
2012-02-13,45891764,2075,4166616.666664967,,733
2012-02-14,46373862,2052,4183283.3333316334,,781
2012-02-15,46446878,1841,4224949.9999983,,599
2012-02-16,45843402,2068,4266616.666664967,,768
2012-02-17,46687816,1991,4283283.333331633,,736
2012-02-18,47108696,1988,4316616.666664967,,719
