Date,address,daily_trx,trx_fee,hashrate,price,Supply
2011-10-07,null,null,,null,,
2011-10-08,1,null,,12.68,,
2011-10-09,null,null,,null,,
2011-10-10,null,null,,null,,
2011-10-11,null,null,,null,,
2011-10-12,1,null,,null,,
2011-10-13,9775,92,,3981152,,
2011-10-14,1530,62,,10173213,,524950.0
2011-10-15,1503,438,,2465190,,574950.0
2011-10-16,4846,1415,,3243604,,616616.6666666666
2011-10-17,3139,1578,,3784099,,633283.3333333334
2011-10-18,3739,1651,,3491184,,674950.0
2011-10-19,2624,1388,,4615624,,724950.0
2011-10-20,3739,1851,,4406201,,774950.0
2011-10-21,3175,1681,,5721538,,816616.6666666666
2011-10-22,2892,1505,,6050692,,833283.3333333334
2011-10-23,3120,1562,,6517777,,874950.0
2011-10-24,2685,1443,,7697206,,916616.6666666666
2011-10-25,2409,1260,,5792978,,933283.3333333334
2011-10-26,4213,1310,,6077776,,974950.0
2011-10-27,1873,933,,5405281,,1012450.0
2011-10-28,2616,1388,,4135097,,1024950.0
2011-10-29,2930,1522,,5105674,,1037450.0
2011-10-30,3196,1749,,6118471,,1074950.0
2011-10-31,3724,1779,,6436955,,1116616.6666666667
2011-11-01,3927,1980,,7950239,,1133283.3333333333
2011-11-02,4539,2348,,14851569,,1174950.0
2011-11-03,3605,2029,,17710885,,1266616.6666666667
2011-11-04,3926,2112,,21185640,,1283283.3333333333
2011-11-05,2842,1592,,21431536,,1324950.0
2011-11-06,3003,1716,,19395028,,1374950.0
2011-11-07,2792,1608,,18682079,,1416616.6666666667
2011-11-08,2996,1734,,17478903,,1433283.3333333333
2011-11-09,2641,1505,,17764696,,1466616.6666666667
2011-11-10,2635,1487,,16439840,,1483283.3333333333
2011-11-11,3314,2003,,17303985,,1516616.6666666667
2011-11-12,2413,1295,,17506448,,1533283.3333333333
2011-11-13,2861,1572,,17740277,,1574950.0
2011-11-14,2834,1460,,16699834,,1616616.6666666667
2011-11-15,7095,4823,,18117610,,1633283.3333333333
2011-11-16,40944,21994,,17589267,,1666616.6666666667
2011-11-17,25412,15859,,17734298,,1683283.3333333333
2011-11-18,11483,11761,,19580764,,1716616.6666666667
2011-11-19,3379,2499,,18724322,,1733283.3333333333
2011-11-20,2830,4203,,20058404,,1774950.0
2011-11-21,3406,2616,,19732050,,1816616.6666666667
2011-11-22,2999,1735,,19193929,,1833283.3333333333
2011-11-23,2902,1596,,18876649,,1866616.6666666667
2011-11-24,2451,1222,,18145330,,1883283.3333333333
2011-11-25,2795,1317,,17795447,,1924949.9999991502
2011-11-26,2798,1508,,18781302,,1966616.6666649668
2011-11-27,2841,1409,,19342354,,1983283.3333316334
2011-11-28,2655,1300,,18838894,,2016616.6666649668
2011-11-29,2052,883,,18716620,,2033283.3333316334
2011-11-30,2300,1170,,21950282,,2074949.9999982999
2011-12-01,2326,1186,,23686916,,2116616.6666649664
2011-12-02,2354,1157,,27486420,,2133283.3333316334
2011-12-03,2606,1314,,28797421,,2174949.9999983
2011-12-04,2080,964,,30974481,,2216616.6666649664
2011-12-05,1810,839,,26058406,,2233283.3333316334
2011-12-06,3224,947,,28117205,,2274949.9999983
2011-12-07,2011,928,,29548412,,2316616.6666649664
2011-12-08,1979,990,,26823454,,2333283.3333316334
2011-12-09,1650,740,,24724165,,2366616.6666649664
2011-12-10,1729,821,,25690188,,2383283.3333316334
2011-12-11,1720,846,,29249490,,2416616.6666649664
2011-12-12,1758,778,,27317276,,2433283.3333316334
2011-12-13,1457,594,,20355254,,2466616.6666649664
2011-12-14,1401,602,,16129895,,2483283.3333316334
2011-12-15,1593,715,,20308206,,2516616.6666649664
2011-12-16,1866,773,,20061832,,2533283.3333316334
2011-12-17,1770,689,,23171063,,2566616.6666649664
2011-12-18,1933,774,,22433666,,2583283.3333316334
2011-12-19,1786,746,,20562636,,2624949.9999983
2011-12-20,1871,768,,21276836,,2666616.6666649664
2011-12-21,1914,768,,21946241,,2683283.3333316334
2011-12-22,2082,798,,29371303,,2716616.6666649664
2011-12-23,1729,801,,26157608,,2733283.3333316334
2011-12-24,1391,626,,14135000,,2762449.9999983
2011-12-25,1299,594,,11388493,,2774949.9999983
2011-12-26,1390,616,,13223883,,2787449.9999983
2011-12-27,1758,719,,14551029,,2816616.6666649664
2011-12-28,1638,711,,13279337,,2833283.3333316334
2011-12-29,2829,1028,,21537013,,2874949.9999983
2011-12-30,2610,940,,40160922,,2924949.9999983
2011-12-31,1752,686,,37845712,,2966616.6666649664
2012-01-01,1690,649,,28937434,,2983283.3333316334
